party_id,name,type,country,business,risk_rating
0,Customer_00000,I,US,I,0
1,Customer_00001,I,US,I,32
2,Customer_00002,I,US,I,19
3,Customer_00003,I,US,I,5
4,Customer_00004,I,US,I,33
5,Customer_00005,I,US,I,81
6,Customer_00006,I,US,I,16
7,Customer_00007,I,US,I,82
8,Customer_00008,I,US,I,72
9,Customer_00009,I,US,I,79
10,Customer_00010,I,US,I,26
11,Customer_00011,I,US,I,31
12,Customer_00012,I,US,I,15
13,Customer_00013,I,US,I,93
14,Customer_00014,I,US,I,23
15,Customer_00015,I,US,I,48
16,Customer_00016,I,US,I,1
17,Customer_00017,I,US,I,41
18,Customer_00018,I,US,I,8
19,Customer_00019,I,US,I,47
20,Customer_00020,I,US,I,100
21,Customer_00021,I,US,I,16
22,Customer_00022,I,US,I,50
23,Customer_00023,I,US,I,13
24,Customer_00024,I,US,I,81
25,Customer_00025,I,US,I,79
26,Customer_00026,I,US,I,96
27,Customer_00027,I,US,I,43
28,Customer_00028,I,US,I,33
29,Customer_00029,I,US,I,5
30,Customer_00030,I,US,I,60
31,Customer_00031,I,US,I,93
32,Customer_00032,I,US,I,19
33,Customer_00033,I,US,I,22
34,Customer_00034,I,US,I,16
35,Customer_00035,I,US,I,24
36,Customer_00036,I,US,I,23
37,Customer_00037,I,US,I,94
38,Customer_00038,I,US,I,27
39,Customer_00039,I,US,I,21
40,Customer_00040,I,US,I,70
41,Customer_00041,I,US,I,87
42,Customer_00042,I,US,I,97
43,Customer_00043,I,US,I,39
44,Customer_00044,I,US,I,84
45,Customer_00045,I,US,I,17
46,Customer_00046,I,US,I,7
47,Customer_00047,I,US,I,95
48,Customer_00048,I,US,I,63
49,Customer_00049,I,US,I,75
50,Customer_00050,I,US,I,63
51,Customer_00051,I,US,I,41
52,Customer_00052,I,US,I,29
53,Customer_00053,I,US,I,25
54,Customer_00054,I,US,I,69
55,Customer_00055,I,US,I,44
56,Customer_00056,I,US,I,16
57,Customer_00057,I,US,I,77
58,Customer_00058,I,US,I,57
59,Customer_00059,I,US,I,16
60,Customer_00060,I,US,I,95
61,Customer_00061,I,US,I,58
62,Customer_00062,I,US,I,56
63,Customer_00063,I,US,I,27
64,Customer_00064,I,US,I,98
65,Customer_00065,I,US,I,42
66,Customer_00066,I,US,I,73
67,Customer_00067,I,US,I,36
68,Customer_00068,I,US,I,27
69,Customer_00069,I,US,I,27
70,Customer_00070,I,US,I,23
71,Customer_00071,I,US,I,16
72,Customer_00072,I,US,I,42
73,Customer_00073,I,US,I,19
74,Customer_00074,I,US,I,28
75,Customer_00075,I,US,I,67
76,Customer_00076,I,US,I,89
77,Customer_00077,I,US,I,63
78,Customer_00078,I,US,I,37
79,Customer_00079,I,US,I,91
80,Customer_00080,I,US,I,51
81,Customer_00081,I,US,I,8
82,Customer_00082,I,US,I,3
83,Customer_00083,I,US,I,10
84,Customer_00084,I,US,I,71
85,Customer_00085,I,US,I,75
86,Customer_00086,I,US,I,86
87,Customer_00087,I,US,I,8
88,Customer_00088,I,US,I,5
89,Customer_00089,I,US,I,36
90,Customer_00090,I,US,I,52
91,Customer_00091,I,US,I,83
92,Customer_00092,I,US,I,67
93,Customer_00093,I,US,I,68
94,Customer_00094,I,US,I,91
95,Customer_00095,I,US,I,76
96,Customer_00096,I,US,I,3
97,Customer_00097,I,US,I,31
98,Customer_00098,I,US,I,16
99,Customer_00099,I,US,I,45
100,Customer_00100,I,US,I,23
101,Customer_00101,I,US,I,72
102,Customer_00102,I,US,I,76
103,Customer_00103,I,US,I,0
104,Customer_00104,I,US,I,72
105,Customer_00105,I,US,I,85
106,Customer_00106,I,US,I,96
107,Customer_00107,I,US,I,75
108,Customer_00108,I,US,I,84
109,Customer_00109,I,US,I,60
110,Customer_00110,I,US,I,44
111,Customer_00111,I,US,I,48
112,Customer_00112,I,US,I,99
113,Customer_00113,I,US,I,43
114,Customer_00114,I,US,I,54
115,Customer_00115,I,US,I,12
116,Customer_00116,I,US,I,94
117,Customer_00117,I,US,I,53
118,Customer_00118,I,US,I,8
119,Customer_00119,I,US,I,90
120,Customer_00120,I,US,I,17
121,Customer_00121,I,US,I,94
122,Customer_00122,I,US,I,50
123,Customer_00123,I,US,I,18
124,Customer_00124,I,US,I,18
125,Customer_00125,I,US,I,63
126,Customer_00126,I,US,I,91
127,Customer_00127,I,US,I,74
128,Customer_00128,I,US,I,38
129,Customer_00129,I,US,I,13
130,Customer_00130,I,US,I,93
131,Customer_00131,I,US,I,93
132,Customer_00132,I,US,I,17
133,Customer_00133,I,US,I,50
134,Customer_00134,I,US,I,11
135,Customer_00135,I,US,I,87
136,Customer_00136,I,US,I,79
137,Customer_00137,I,US,I,8
138,Customer_00138,I,US,I,79
139,Customer_00139,I,US,I,96
140,Customer_00140,I,US,I,65
141,Customer_00141,I,US,I,84
142,Customer_00142,I,US,I,19
143,Customer_00143,I,US,I,81
144,Customer_00144,I,US,I,83
145,Customer_00145,I,US,I,35
146,Customer_00146,I,US,I,93
147,Customer_00147,I,US,I,18
148,Customer_00148,I,US,I,46
149,Customer_00149,I,US,I,99
150,Customer_00150,I,US,I,47
151,Customer_00151,I,US,I,85
152,Customer_00152,I,US,I,38
153,Customer_00153,I,US,I,3
154,Customer_00154,I,US,I,8
155,Customer_00155,I,US,I,60
156,Customer_00156,I,US,I,37
157,Customer_00157,I,US,I,0
158,Customer_00158,I,US,I,5
159,Customer_00159,I,US,I,65
160,Customer_00160,I,US,I,18
161,Customer_00161,I,US,I,94
162,Customer_00162,I,US,I,18
163,Customer_00163,I,US,I,11
164,Customer_00164,I,US,I,36
165,Customer_00165,I,US,I,91
166,Customer_00166,I,US,I,22
167,Customer_00167,I,US,I,76
168,Customer_00168,I,US,I,16
169,Customer_00169,I,US,I,41
170,Customer_00170,I,US,I,76
171,Customer_00171,I,US,I,28
172,Customer_00172,I,US,I,6
173,Customer_00173,I,US,I,93
174,Customer_00174,I,US,I,66
175,Customer_00175,I,US,I,5
176,Customer_00176,I,US,I,18
177,Customer_00177,I,US,I,83
178,Customer_00178,I,US,I,76
179,Customer_00179,I,US,I,50
180,Customer_00180,I,US,I,15
181,Customer_00181,I,US,I,29
182,Customer_00182,I,US,I,92
183,Customer_00183,I,US,I,31
184,Customer_00184,I,US,I,7
185,Customer_00185,I,US,I,61
186,Customer_00186,I,US,I,67
187,Customer_00187,I,US,I,65
188,Customer_00188,I,US,I,23
189,Customer_00189,I,US,I,41
190,Customer_00190,I,US,I,34
191,Customer_00191,I,US,I,44
192,Customer_00192,I,US,I,19
193,Customer_00193,I,US,I,7
194,Customer_00194,I,US,I,16
195,Customer_00195,I,US,I,36
196,Customer_00196,I,US,I,87
197,Customer_00197,I,US,I,10
198,Customer_00198,I,US,I,11
199,Customer_00199,I,US,I,95
200,Customer_00200,I,US,I,36
201,Customer_00201,I,US,I,86
202,Customer_00202,I,US,I,16
203,Customer_00203,I,US,I,8
204,Customer_00204,I,US,I,40
205,Customer_00205,I,US,I,47
206,Customer_00206,I,US,I,5
207,Customer_00207,I,US,I,46
208,Customer_00208,I,US,I,93
209,Customer_00209,I,US,I,32
210,Customer_00210,I,US,I,75
211,Customer_00211,I,US,I,100
212,Customer_00212,I,US,I,97
213,Customer_00213,I,US,I,5
214,Customer_00214,I,US,I,66
215,Customer_00215,I,US,I,70
216,Customer_00216,I,US,I,66
217,Customer_00217,I,US,I,52
218,Customer_00218,I,US,I,97
219,Customer_00219,I,US,I,90
220,Customer_00220,I,US,I,75
221,Customer_00221,I,US,I,46
222,Customer_00222,I,US,I,5
223,Customer_00223,I,US,I,57
224,Customer_00224,I,US,I,23
225,Customer_00225,I,US,I,61
226,Customer_00226,I,US,I,62
227,Customer_00227,I,US,I,25
228,Customer_00228,I,US,I,48
229,Customer_00229,I,US,I,14
230,Customer_00230,I,US,I,37
231,Customer_00231,I,US,I,64
232,Customer_00232,I,US,I,4
233,Customer_00233,I,US,I,88
234,Customer_00234,I,US,I,73
235,Customer_00235,I,US,I,11
236,Customer_00236,I,US,I,23
237,Customer_00237,I,US,I,68
238,Customer_00238,I,US,I,20
239,Customer_00239,I,US,I,65
240,Customer_00240,I,US,I,60
241,Customer_00241,I,US,I,82
242,Customer_00242,I,US,I,6
243,Customer_00243,I,US,I,96
244,Customer_00244,I,US,I,89
245,Customer_00245,I,US,I,34
246,Customer_00246,I,US,I,26
247,Customer_00247,I,US,I,74
248,Customer_00248,I,US,I,48
249,Customer_00249,I,US,I,58
250,Customer_00250,I,US,I,30
251,Customer_00251,I,US,I,60
252,Customer_00252,I,US,I,93
253,Customer_00253,I,US,I,43
254,Customer_00254,I,US,I,23
255,Customer_00255,I,US,I,8
256,Customer_00256,I,US,I,86
257,Customer_00257,I,US,I,4
258,Customer_00258,I,US,I,57
259,Customer_00259,I,US,I,14
260,Customer_00260,I,US,I,10
261,Customer_00261,I,US,I,90
262,Customer_00262,I,US,I,11
263,Customer_00263,I,US,I,7
264,Customer_00264,I,US,I,94
265,Customer_00265,I,US,I,19
266,Customer_00266,I,US,I,49
267,Customer_00267,I,US,I,44
268,Customer_00268,I,US,I,52
269,Customer_00269,I,US,I,35
270,Customer_00270,I,US,I,51
271,Customer_00271,I,US,I,84
272,Customer_00272,I,US,I,84
273,Customer_00273,I,US,I,45
274,Customer_00274,I,US,I,68
275,Customer_00275,I,US,I,79
276,Customer_00276,I,US,I,80
277,Customer_00277,I,US,I,65
278,Customer_00278,I,US,I,83
279,Customer_00279,I,US,I,32
280,Customer_00280,I,US,I,51
281,Customer_00281,I,US,I,17
282,Customer_00282,I,US,I,98
283,Customer_00283,I,US,I,4
284,Customer_00284,I,US,I,51
285,Customer_00285,I,US,I,61
286,Customer_00286,I,US,I,1
287,Customer_00287,I,US,I,88
288,Customer_00288,I,US,I,84
289,Customer_00289,I,US,I,88
290,Customer_00290,I,US,I,75
291,Customer_00291,I,US,I,38
292,Customer_00292,I,US,I,1
293,Customer_00293,I,US,I,21
294,Customer_00294,I,US,I,87
295,Customer_00295,I,US,I,22
296,Customer_00296,I,US,I,27
297,Customer_00297,I,US,I,60
298,Customer_00298,I,US,I,95
299,Customer_00299,I,US,I,55
300,Customer_00300,I,US,I,28
301,Customer_00301,I,US,I,83
302,Customer_00302,I,US,I,45
303,Customer_00303,I,US,I,48
304,Customer_00304,I,US,I,1
305,Customer_00305,I,US,I,27
306,Customer_00306,I,US,I,19
307,Customer_00307,I,US,I,48
308,Customer_00308,I,US,I,18
309,Customer_00309,I,US,I,84
310,Customer_00310,I,US,I,77
311,Customer_00311,I,US,I,72
312,Customer_00312,I,US,I,93
313,Customer_00313,I,US,I,58
314,Customer_00314,I,US,I,45
315,Customer_00315,I,US,I,79
316,Customer_00316,I,US,I,82
317,Customer_00317,I,US,I,71
318,Customer_00318,I,US,I,28
319,Customer_00319,I,US,I,0
320,Customer_00320,I,US,I,3
321,Customer_00321,I,US,I,14
322,Customer_00322,I,US,I,3
323,Customer_00323,I,US,I,15
324,Customer_00324,I,US,I,87
325,Customer_00325,I,US,I,38
326,Customer_00326,I,US,I,66
327,Customer_00327,I,US,I,92
328,Customer_00328,I,US,I,95
329,Customer_00329,I,US,I,90
330,Customer_00330,I,US,I,42
331,Customer_00331,I,US,I,98
332,Customer_00332,I,US,I,55
333,Customer_00333,I,US,I,68
334,Customer_00334,I,US,I,71
335,Customer_00335,I,US,I,86
336,Customer_00336,I,US,I,27
337,Customer_00337,I,US,I,99
338,Customer_00338,I,US,I,60
339,Customer_00339,I,US,I,15
340,Customer_00340,I,US,I,88
341,Customer_00341,I,US,I,33
342,Customer_00342,I,US,I,96
343,Customer_00343,I,US,I,36
344,Customer_00344,I,US,I,35
345,Customer_00345,I,US,I,63
346,Customer_00346,I,US,I,6
347,Customer_00347,I,US,I,66
348,Customer_00348,I,US,I,58
349,Customer_00349,I,US,I,13
350,Customer_00350,I,US,I,64
351,Customer_00351,I,US,I,77
352,Customer_00352,I,US,I,82
353,Customer_00353,I,US,I,23
354,Customer_00354,I,US,I,59
355,Customer_00355,I,US,I,8
356,Customer_00356,I,US,I,90
357,Customer_00357,I,US,I,3
358,Customer_00358,I,US,I,51
359,Customer_00359,I,US,I,6
360,Customer_00360,I,US,I,36
361,Customer_00361,I,US,I,70
362,Customer_00362,I,US,I,30
363,Customer_00363,I,US,I,100
364,Customer_00364,I,US,I,14
365,Customer_00365,I,US,I,1
366,Customer_00366,I,US,I,89
367,Customer_00367,I,US,I,86
368,Customer_00368,I,US,I,77
369,Customer_00369,I,US,I,36
370,Customer_00370,I,US,I,14
371,Customer_00371,I,US,I,1
372,Customer_00372,I,US,I,62
373,Customer_00373,I,US,I,42
374,Customer_00374,I,US,I,31
375,Customer_00375,I,US,I,58
376,Customer_00376,I,US,I,7
377,Customer_00377,I,US,I,34
378,Customer_00378,I,US,I,20
379,Customer_00379,I,US,I,78
380,Customer_00380,I,US,I,94
381,Customer_00381,I,US,I,16
382,Customer_00382,I,US,I,7
383,Customer_00383,I,US,I,87
384,Customer_00384,I,US,I,76
385,Customer_00385,I,US,I,29
386,Customer_00386,I,US,I,1
387,Customer_00387,I,US,I,60
388,Customer_00388,I,US,I,89
389,Customer_00389,I,US,I,18
390,Customer_00390,I,US,I,59
391,Customer_00391,I,US,I,67
392,Customer_00392,I,US,I,59
393,Customer_00393,I,US,I,45
394,Customer_00394,I,US,I,49
395,Customer_00395,I,US,I,60
396,Customer_00396,I,US,I,85
397,Customer_00397,I,US,I,88
398,Customer_00398,I,US,I,75
399,Customer_00399,I,US,I,88
400,Customer_00400,I,US,I,94
401,Customer_00401,I,US,I,96
402,Customer_00402,I,US,I,78
403,Customer_00403,I,US,I,65
404,Customer_00404,I,US,I,9
405,Customer_00405,I,US,I,31
406,Customer_00406,I,US,I,47
407,Customer_00407,I,US,I,22
408,Customer_00408,I,US,I,49
409,Customer_00409,I,US,I,37
410,Customer_00410,I,US,I,6
411,Customer_00411,I,US,I,77
412,Customer_00412,I,US,I,94
413,Customer_00413,I,US,I,67
414,Customer_00414,I,US,I,73
415,Customer_00415,I,US,I,74
416,Customer_00416,I,US,I,64
417,Customer_00417,I,US,I,10
418,Customer_00418,I,US,I,98
419,Customer_00419,I,US,I,57
420,Customer_00420,I,US,I,4
421,Customer_00421,I,US,I,87
422,Customer_00422,I,US,I,47
423,Customer_00423,I,US,I,66
424,Customer_00424,I,US,I,67
425,Customer_00425,I,US,I,38
426,Customer_00426,I,US,I,87
427,Customer_00427,I,US,I,69
428,Customer_00428,I,US,I,90
429,Customer_00429,I,US,I,68
430,Customer_00430,I,US,I,46
431,Customer_00431,I,US,I,4
432,Customer_00432,I,US,I,33
433,Customer_00433,I,US,I,10
434,Customer_00434,I,US,I,92
435,Customer_00435,I,US,I,8
436,Customer_00436,I,US,I,74
437,Customer_00437,I,US,I,35
438,Customer_00438,I,US,I,84
439,Customer_00439,I,US,I,62
440,Customer_00440,I,US,I,72
441,Customer_00441,I,US,I,34
442,Customer_00442,I,US,I,23
443,Customer_00443,I,US,I,2
444,Customer_00444,I,US,I,67
445,Customer_00445,I,US,I,56
446,Customer_00446,I,US,I,27
447,Customer_00447,I,US,I,66
448,Customer_00448,I,US,I,45
449,Customer_00449,I,US,I,24
450,Customer_00450,I,US,I,31
451,Customer_00451,I,US,I,91
452,Customer_00452,I,US,I,6
453,Customer_00453,I,US,I,79
454,Customer_00454,I,US,I,27
455,Customer_00455,I,US,I,75
456,Customer_00456,I,US,I,45
457,Customer_00457,I,US,I,55
458,Customer_00458,I,US,I,70
459,Customer_00459,I,US,I,66
460,Customer_00460,I,US,I,80
461,Customer_00461,I,US,I,27
462,Customer_00462,I,US,I,12
463,Customer_00463,I,US,I,43
464,Customer_00464,I,US,I,72
465,Customer_00465,I,US,I,95
466,Customer_00466,I,US,I,9
467,Customer_00467,I,US,I,57
468,Customer_00468,I,US,I,20
469,Customer_00469,I,US,I,68
470,Customer_00470,I,US,I,57
471,Customer_00471,I,US,I,48
472,Customer_00472,I,US,I,57
473,Customer_00473,I,US,I,16
474,Customer_00474,I,US,I,77
475,Customer_00475,I,US,I,6
476,Customer_00476,I,US,I,24
477,Customer_00477,I,US,I,5
478,Customer_00478,I,US,I,2
479,Customer_00479,I,US,I,92
480,Customer_00480,I,US,I,90
481,Customer_00481,I,US,I,51
482,Customer_00482,I,US,I,20
483,Customer_00483,I,US,I,46
484,Customer_00484,I,US,I,67
485,Customer_00485,I,US,I,1
486,Customer_00486,I,US,I,11
487,Customer_00487,I,US,I,44
488,Customer_00488,I,US,I,91
489,Customer_00489,I,US,I,11
490,Customer_00490,I,US,I,89
491,Customer_00491,I,US,I,89
492,Customer_00492,I,US,I,85
493,Customer_00493,I,US,I,96
494,Customer_00494,I,US,I,8
495,Customer_00495,I,US,I,98
496,Customer_00496,I,US,I,66
497,Customer_00497,I,US,I,81
498,Customer_00498,I,US,I,82
499,Customer_00499,I,US,I,1
500,Customer_00500,I,US,I,34
501,Customer_00501,I,US,I,70
502,Customer_00502,I,US,I,83
503,Customer_00503,I,US,I,95
