account_id,party_id,init_balance,start_date,end_date,country,business,suspicious,is_fraud,model_id
0,0,186.59,1,2000,US,I,False,False,0
1,1,173.19,1,2000,US,I,False,False,1
2,2,148.44,1,2000,US,I,False,False,2
3,3,116.72,1,2000,US,I,False,False,3
4,4,145.38,1,2000,US,I,False,False,4
5,5,174.37,1,2000,US,I,False,False,5
6,6,173.98,1,2000,US,I,False,False,6
7,7,148.57,1,2000,US,I,False,False,7
8,8,145.96,1,2000,US,I,False,False,8
9,9,174.71,1,2000,US,I,False,False,9
10,10,184.94,1,2000,US,I,False,False,0
11,11,122.81,1,2000,US,I,False,False,1
12,12,119.89,1,2000,US,I,False,False,2
13,13,183.2,1,2000,US,I,False,False,3
14,14,166.96,1,2000,US,I,False,False,4
15,15,120.05,1,2000,US,I,False,False,5
16,16,184.91,1,2000,US,I,False,False,6
17,17,161.47,1,2000,US,I,False,False,7
18,18,178.83,1,2000,US,I,False,False,8
19,19,206.09,1,2000,US,I,False,False,9
20,20,149.29,1,2000,US,I,False,False,0
21,21,181.59,1,2000,US,I,False,False,1
22,22,198.67,1,2000,US,I,False,False,2
23,23,185.04,1,2000,US,I,False,False,3
24,24,127.91,1,2000,US,I,False,False,4
25,25,99.11,1,2000,US,I,False,False,5
26,26,143.24,1,2000,US,I,False,False,6
27,27,140.36,1,2000,US,I,False,False,7
28,28,189.9,1,2000,US,I,False,False,8
29,29,220.7,1,2000,US,I,False,False,9
30,30,147.84,1,2000,US,I,False,False,0
31,31,173.94,1,2000,US,I,False,False,1
32,32,106.09,1,2000,US,I,False,False,2
33,33,178.26,1,2000,US,I,False,False,3
34,34,175.03,1,2000,US,I,False,False,4
35,35,98.54,1,2000,US,I,False,False,5
36,36,131.84,1,2000,US,I,False,False,6
37,37,118.64,1,2000,US,I,False,False,7
38,38,201.04,1,2000,US,I,False,False,8
39,39,195.81,1,2000,US,I,False,False,9
40,40,112.87,1,2000,US,I,False,False,0
41,41,150.22,1,2000,US,I,False,False,1
42,42,179.06,1,2000,US,I,False,False,2
43,43,139.12,1,2000,US,I,False,False,3
44,44,122.45,1,2000,US,I,False,False,4
45,45,192.29,1,2000,US,I,False,False,5
46,46,108.52,1,2000,US,I,False,False,6
47,47,120.3,1,2000,US,I,False,False,7
48,48,118.54,1,2000,US,I,False,False,8
49,49,232.59,1,2000,US,I,False,False,9
50,50,164.89,1,2000,US,I,False,False,0
51,51,142.51,1,2000,US,I,False,False,1
52,52,102.17,1,2000,US,I,False,False,2
53,53,151.54,1,2000,US,I,False,False,3
54,54,164.57,1,2000,US,I,False,False,4
55,55,185.61,1,2000,US,I,False,False,5
56,56,102.71,1,2000,US,I,False,False,6
57,57,132.26,1,2000,US,I,False,False,7
58,58,166.83,1,2000,US,I,False,False,8
59,59,146.65,1,2000,US,I,False,False,9
60,60,168.83,1,2000,US,I,False,False,0
61,61,170.81,1,2000,US,I,False,False,1
62,62,228.97,1,2000,US,I,False,False,2
63,63,161.77,1,2000,US,I,False,False,3
64,64,180.17,1,2000,US,I,False,False,4
65,65,131.2,1,2000,US,I,False,False,5
66,66,129.92,1,2000,US,I,False,False,6
67,67,144.16,1,2000,US,I,False,False,7
68,68,159.63,1,2000,US,I,True,True,8
69,69,131.94,1,2000,US,I,False,False,9
70,70,95.34,1,2000,US,I,False,False,0
71,71,136.43,1,2000,US,I,False,False,1
72,72,183.5,1,2000,US,I,False,False,2
73,73,167.96,1,2000,US,I,False,False,3
74,74,135.95,1,2000,US,I,False,False,4
75,75,103.72,1,2000,US,I,False,False,5
76,76,161.16,1,2000,US,I,False,False,6
77,77,171.44,1,2000,US,I,False,False,7
78,78,195.21,1,2000,US,I,False,False,8
79,79,173.08,1,2000,US,I,False,False,9
80,80,189.8,1,2000,US,I,False,False,0
81,81,193.06,1,2000,US,I,False,False,1
82,82,150.2,1,2000,US,I,False,False,2
83,83,111.54,1,2000,US,I,False,False,3
84,84,162.23,1,2000,US,I,False,False,4
85,85,137.5,1,2000,US,I,False,False,5
86,86,178.29,1,2000,US,I,False,False,6
87,87,179.08,1,2000,US,I,False,False,7
88,88,193.52,1,2000,US,I,False,False,8
89,89,160.33,1,2000,US,I,False,False,9
90,90,209.62,1,2000,US,I,False,False,0
91,91,192.89,1,2000,US,I,False,False,1
92,92,133.71,1,2000,US,I,False,False,2
93,93,160.82,1,2000,US,I,False,False,3
94,94,204.61,1,2000,US,I,False,False,4
95,95,213.76,1,2000,US,I,False,False,5
96,96,172.98,1,2000,US,I,False,False,6
97,97,138.85,1,2000,US,I,False,False,7
98,98,147.66,1,2000,US,I,False,False,8
99,99,145.1,1,2000,US,I,False,False,9
100,100,192.8,1,2000,US,I,False,False,0
101,101,153.37,1,2000,US,I,False,False,1
102,102,125.67,1,2000,US,I,False,False,2
103,103,183.46,1,2000,US,I,False,False,3
104,104,108.42,1,2000,US,I,False,False,4
105,105,121.24,1,2000,US,I,False,False,5
106,106,205.44,1,2000,US,I,False,False,6
107,107,134.63,1,2000,US,I,False,False,7
108,108,190.7,1,2000,US,I,False,False,8
109,109,82.42,1,2000,US,I,False,False,9
110,110,121.33,1,2000,US,I,False,False,0
111,111,193.87,1,2000,US,I,False,False,1
112,112,115.19,1,2000,US,I,False,False,2
113,113,161.46,1,2000,US,I,False,False,3
